module,type,name,res_id,src,value,comments
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_client_period_initial,Subsription initial period in hours for trials,Perído da Subscrição inicial em horas para o Trial,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_summary,Summary,Resumo,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_plans_form,Summary,Resumo,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_res_users_support_team_id,Support Team,Equipe de Suporte,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_support_team_id,Support Team,Equipe de Suporte,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_create_client_support_team_id,Support Team,Equipe de Suporte,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_support_team_form,Support Team,Equipe de Suporte,
saas_portal,model,"ir.actions.act_window,name",saas_portal.saas_portal_support_teams,Support Teams,Equipe de Suporte,
saas_portal,model,"ir.ui.menu,name",saas_portal.menu_saas_portal_support_teams,Support Teams,Equipe de Suporte,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_support_team_tree,Support Teams,Equipe de Suporte,
saas_portal,model,"ir.model.fields,help",saas_portal.field_res_users_support_team_id,Support team for SaaS,Support team for SaaS,
saas_portal,selection,"saas_portal.plan,lang",0,Swedish / svenska,Swedish / svenska,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_clients_form,Sync client,Sincronizar Cliente,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_clients_form,Sync server,Sincronizar Servidor,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_plans_form,Sync server,Sincronizar Servidor,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_server_form,Sync server,Sincronizar Servidor,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_support_team_name,Team name,Nome da Equipe,
saas_portal,model,"ir.ui.menu,name",saas_portal.menu_saas_tech,Technical Records,Technical Records,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_plans_form,Technical Settings,Configurações Técnicas,
saas_portal,selection,"saas_portal.plan,lang",0,Telugu / తెలుగు,Telugu / తెలుగు,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_template_id,Template,Modelo,
saas_portal,selection,"saas_portal.client,state",0,Template,Template,
saas_portal,selection,"saas_portal.database,state",0,Template,Template,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_oauth_application_template_db_ids,Template Database,Base de Dados Template,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_template_db_ids,Template Database,Base de Dados Template,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_database_template_db_ids,Template Database,Base de Dados Template,
